,Phase,Model,Estimated ATE,n_covariates
192,Test,BICauseTree(Marginal),0.007641962668265445,10
193,Train,BICauseTree(Marginal),0.016272576675550182,10
194,Test,BICauseTree(Marginal),0.017221532997119926,10
195,Train,BICauseTree(Marginal),0.007966561952642975,10
196,Test,BICauseTree(Marginal),0.010542457165111152,10
197,Train,BICauseTree(Marginal),0.014448481704414595,10
198,Test,BICauseTree(Marginal),0.010033714163260904,10
199,Train,BICauseTree(Marginal),0.013946198123659104,10
200,Test,BICauseTree(Marginal),0.00949948325590455,25
201,Train,BICauseTree(Marginal),0.018248776502029385,25
202,Test,BICauseTree(Marginal),0.019847213333173602,25
203,Train,BICauseTree(Marginal),0.008189621779853606,25
204,Test,BICauseTree(Marginal),0.00507891110840708,25
205,Train,BICauseTree(Marginal),0.019530184945085932,25
206,Test,BICauseTree(Marginal),0.009006157940023185,25
207,Train,BICauseTree(Marginal),0.00917286635278608,25
208,Test,BICauseTree(Marginal),0.013316667805401972,25
209,Train,BICauseTree(Marginal),0.00868421231334271,25
210,Test,BICauseTree(Marginal),0.011739480929693319,25
211,Train,BICauseTree(Marginal),0.015054536034788235,25
212,Test,BICauseTree(Marginal),0.00031371335286281554,25
213,Train,BICauseTree(Marginal),0.023632840852822162,25
214,Test,BICauseTree(Marginal),0.026680085417004035,25
215,Train,BICauseTree(Marginal),0.0007373991602082353,25
216,Test,BICauseTree(Marginal),0.017267822392027676,25
217,Train,BICauseTree(Marginal),0.013948305466168681,25
218,Test,BICauseTree(Marginal),0.009004948504209326,25
219,Train,BICauseTree(Marginal),0.017789952889164545,25
220,Test,BICauseTree(Marginal),0.011174481093327637,25
221,Train,BICauseTree(Marginal),0.01273092946875845,25
222,Test,BICauseTree(Marginal),0.017490615554163008,25
223,Train,BICauseTree(Marginal),0.002715664794790129,25
224,Test,BICauseTree(Marginal),0.01553543494699261,25
225,Train,BICauseTree(Marginal),0.007525073814786287,25
226,Test,BICauseTree(Marginal),0.0162590321864442,25
227,Train,BICauseTree(Marginal),0.01620182369307585,25
228,Test,BICauseTree(Marginal),0.0095788863078414,25
229,Train,BICauseTree(Marginal),0.016728532404290647,25
230,Test,BICauseTree(Marginal),0.009583573391222594,25
231,Train,BICauseTree(Marginal),0.013911847466175548,25
232,Test,BICauseTree(Marginal),0.012450821584699262,25
233,Train,BICauseTree(Marginal),0.015507127596942644,25
234,Test,BICauseTree(Marginal),0.0006090911154098821,25
235,Train,BICauseTree(Marginal),0.01728689709887507,25
236,Test,BICauseTree(Marginal),0.003535040593018235,25
237,Train,BICauseTree(Marginal),0.024223236707030055,25
238,Test,BICauseTree(Marginal),0.01446847444700558,25
239,Train,BICauseTree(Marginal),0.0118949080873815,25
240,Test,BICauseTree(Marginal),0.01138218681001471,25
241,Train,BICauseTree(Marginal),0.015474974437972439,25
242,Test,BICauseTree(Marginal),0.010910157102131085,25
243,Train,BICauseTree(Marginal),0.013434052432420462,25
244,Test,BICauseTree(Marginal),0.008958408872159762,25
245,Train,BICauseTree(Marginal),0.014682831140167218,25
246,Test,BICauseTree(Marginal),0.016249168875609704,25
247,Train,BICauseTree(Marginal),0.011708063459285906,25
248,Test,BICauseTree(Marginal),0.009780070915296618,25
249,Train,BICauseTree(Marginal),0.018573958702365195,25
250,Test,BICauseTree(Marginal),0.019520492761184033,25
251,Train,BICauseTree(Marginal),0.005445568567299608,25
252,Test,BICauseTree(Marginal),0.021862443745720023,25
253,Train,BICauseTree(Marginal),0.00809526138663283,25
254,Test,BICauseTree(Marginal),0.015430886314002579,25
255,Train,BICauseTree(Marginal),0.0024230503362687728,25
256,Test,BICauseTree(Marginal),0.007288211717091597,25
257,Train,BICauseTree(Marginal),0.01613737126242501,25
258,Test,BICauseTree(Marginal),0.013845352882174256,25
259,Train,BICauseTree(Marginal),0.010075434066428468,25
260,Test,BICauseTree(Marginal),0.003909364962906364,25
261,Train,BICauseTree(Marginal),0.01944165600787781,25
262,Test,BICauseTree(Marginal),0.016452219983627697,25
263,Train,BICauseTree(Marginal),0.010014598756570459,25
264,Test,BICauseTree(Marginal),0.014341861512962545,25
265,Train,BICauseTree(Marginal),0.012057352599294358,25
266,Test,BICauseTree(Marginal),0.00019349187729195139,25
267,Train,BICauseTree(Marginal),0.02337309290482556,25
268,Test,BICauseTree(Marginal),0.020607136771738033,25
269,Train,BICauseTree(Marginal),0.00712339772782386,25
270,Test,BICauseTree(Marginal),0.010893742808306878,25
271,Train,BICauseTree(Marginal),0.012055715122441746,25
272,Test,BICauseTree(Marginal),0.017529245818389966,25
273,Train,BICauseTree(Marginal),0.009084277018268777,25
274,Test,BICauseTree(Marginal),0.015017328758778314,25
275,Train,BICauseTree(Marginal),0.015046651338607914,25
276,Test,BICauseTree(Marginal),0.009450874466849696,25
277,Train,BICauseTree(Marginal),0.022020171080728512,25
278,Test,BICauseTree(Marginal),0.009100352504524789,25
279,Train,BICauseTree(Marginal),0.018829139319084143,25
280,Test,BICauseTree(Marginal),0.004992081545007215,25
281,Train,BICauseTree(Marginal),0.0254088094981981,25
282,Test,BICauseTree(Marginal),0.023290380317675635,25
283,Train,BICauseTree(Marginal),0.00484314158389354,25
284,Test,BICauseTree(Marginal),0.018533441303889647,25
285,Train,BICauseTree(Marginal),0.003522361100359528,25
286,Test,BICauseTree(Marginal),0.01877192953446405,25
287,Train,BICauseTree(Marginal),0.004287350664467671,25
288,Test,BICauseTree(Marginal),0.013065620694827695,25
289,Train,BICauseTree(Marginal),0.015180847357956356,25
290,Test,BICauseTree(Marginal),0.010042988106952477,25
291,Train,BICauseTree(Marginal),0.011468972264395777,25
292,Test,BICauseTree(Marginal),0.007641962668265445,25
293,Train,BICauseTree(Marginal),0.016272576675550182,25
294,Test,BICauseTree(Marginal),0.012796648448785891,25
295,Train,BICauseTree(Marginal),0.0025931442445136232,25
296,Test,BICauseTree(Marginal),0.010542457165111152,25
297,Train,BICauseTree(Marginal),0.014448481704414595,25
298,Test,BICauseTree(Marginal),0.010033714163260904,25
299,Train,BICauseTree(Marginal),0.013946198123659104,25
300,Test,BICauseTree(Marginal),0.009556100761274361,50
301,Train,BICauseTree(Marginal),0.017486679790787413,50
302,Test,BICauseTree(Marginal),0.012564378864356934,50
303,Train,BICauseTree(Marginal),0.011378757656829414,50
304,Test,BICauseTree(Marginal),0.002133637147500117,50
305,Train,BICauseTree(Marginal),0.01750892641725793,50
306,Test,BICauseTree(Marginal),0.0154562659863558,50
307,Train,BICauseTree(Marginal),0.010093228961585737,50
308,Test,BICauseTree(Marginal),0.01234808747326585,50
309,Train,BICauseTree(Marginal),0.012489143297719385,50
310,Test,BICauseTree(Marginal),0.01787905421762956,50
311,Train,BICauseTree(Marginal),0.013742558718375736,50
