,model,bootstrap,covariate,weighted
289,BICauseTree(Marginal),3,mager8,0.007516669862279192
290,BICauseTree(Marginal),3,pldel,0.02681720724384646
291,BICauseTree(Marginal),3,brstate_reg,0.020397007327904917
292,BICauseTree(Marginal),3,feduc6,0.043037653617988156
293,BICauseTree(Marginal),3,dfageq,0.019169063252793602
294,BICauseTree(Marginal),3,nprevistq,0.04708778973963824
295,BICauseTree(Marginal),3,data_year,0.011977451183551122
296,BICauseTree(Marginal),3,crace,0.015108824125181252
297,BICauseTree(Marginal),3,birmon,0.0023307378765157452
298,BICauseTree(Marginal),3,dtotord_min,0.007763853662826804
299,BICauseTree(Marginal),3,dlivord_min,0.018597287695945347
300,BICauseTree(Marginal),4,eclamp,0.018341930014826896
301,BICauseTree(Marginal),4,gestatcat1,0.04027773500179236
302,BICauseTree(Marginal),4,gestatcat2,0.0
303,BICauseTree(Marginal),4,gestatcat3,0.019348474302823104
304,BICauseTree(Marginal),4,gestatcat4,0.03734737962466053
305,BICauseTree(Marginal),4,gestatcat5,0.020704725991995084
306,BICauseTree(Marginal),4,gestatcat6,0.07177482007462264
307,BICauseTree(Marginal),4,gestatcat7,0.03795439408277148
308,BICauseTree(Marginal),4,gestatcat8,0.040364093137953486
309,BICauseTree(Marginal),4,gestatcat9,0.02682926514550943
310,BICauseTree(Marginal),4,gestatcat10,0.009927971378350336
311,BICauseTree(Marginal),4,gestatcat1.1,0.003325542911797886
312,BICauseTree(Marginal),4,gestatcat2.1,0.041245757576225485
313,BICauseTree(Marginal),4,gestatcat3.1,0.0017894653412555603
314,BICauseTree(Marginal),4,bord,0.005646522654622166
315,BICauseTree(Marginal),4,gestatcat4.1,0.04295125583942677
316,BICauseTree(Marginal),4,gestatcat6.1,0.01784256151261912
317,BICauseTree(Marginal),4,gestatcat7.1,0.01454138635675501
318,BICauseTree(Marginal),4,gestatcat8.1,0.0024410816663841596
319,BICauseTree(Marginal),4,gestatcat9.1,0.006514878790026853
320,BICauseTree(Marginal),4,gestatcat10.1,0.03384420420896292
321,BICauseTree(Marginal),4,gestatcat1.2,0.04700563600791068
322,BICauseTree(Marginal),4,gestatcat2.2,0.008763232796888893
323,BICauseTree(Marginal),4,gestatcat3.2,0.019903343595357878
324,BICauseTree(Marginal),4,gestatcat4.2,0.042703944801030166
325,BICauseTree(Marginal),4,gestatcat5.1,0.01593832772822911
326,BICauseTree(Marginal),4,gestatcat6.2,0.015776574559566322
327,BICauseTree(Marginal),4,gestatcat7.2,0.06777533636646571
328,BICauseTree(Marginal),4,gestatcat8.2,0.0073223275722453995
329,BICauseTree(Marginal),4,gestatcat5.2,0.047951146925593296
330,BICauseTree(Marginal),4,gestatcat9.2,0.004833562778095405
331,BICauseTree(Marginal),4,gestatcat10.2,0.013540405270093064
332,BICauseTree(Marginal),4,othermr,0.010315197627022704
333,BICauseTree(Marginal),4,dmar,0.022609023624448873
334,BICauseTree(Marginal),4,csex,0.03749705439105995
335,BICauseTree(Marginal),4,cardiac,0.006512876113900877
336,BICauseTree(Marginal),4,uterine,0.013296842821527844
337,BICauseTree(Marginal),4,lung,0.003065505197968489
338,BICauseTree(Marginal),4,diabetes,0.021504772952876283
339,BICauseTree(Marginal),4,herpes,0.022252769079141192
340,BICauseTree(Marginal),4,anemia,0.06036095230822343
341,BICauseTree(Marginal),4,hydra,0.008018712711760015
342,BICauseTree(Marginal),4,chyper,0.0028311194815322867
343,BICauseTree(Marginal),4,phyper,0.02461803636208013
344,BICauseTree(Marginal),4,incervix,0.024203273997164227
345,BICauseTree(Marginal),4,pre4000,0.013813579027281066
346,BICauseTree(Marginal),4,preterm,0.037697217440770585
